# start     end     duration
1187606122 1187606810 688
1187609751 1187613847 4096
1187613847 1187617290 3443
1187618770 1187619133 363
1187619153 1187623249 4096
1187623249 1187627225 3976
1187634942 1187639038 4096
1187639038 1187643134 4096
1187643134 1187647230 4096
1187647230 1187651326 4096
1187651326 1187651494 168
1187652923 1187656722 3799
1187681295 1187681350 55
1187681364 1187685460 4096
1187685460 1187689556 4096
1187689556 1187693288 3732
1187695571 1187699667 4096
1187699667 1187703763 4096
1187703763 1187707859 4096
1187707859 1187711955 4096
1187711955 1187716051 4096
1187716051 1187720147 4096
1187720147 1187724243 4096
1187724243 1187728339 4096
1187728339 1187732435 4096
1187732435 1187733654 1219
1187733684 1187736164 2480
